glotto;language name;latitude;longitude;comment;Source;date of entry;link to source;family;Kinship;Pronouns;ISO;location
sang1321;Sangtam Naga;25.86;94.63;Two clans use different terms wherever indecated by / . Cousin terminology depends on the birth order of speaker and cousin.;;;;Sino-Tibetan;x;;;
stan1293;Standard English;52.00;0.00;;Wolfgang Barth;;;Indo-European;x;;;
stan1295;Standard German;48.65;12.47;;Wolfgang Barth;;;Indo-European;x;;;
matu1261;Matukar;-4.91;145.78;;Danielle Barth;;;Austronesian;x;;;
waim1255;Tucanoan Bará;0.30;-70.16;;;;;Tucanoan;x;;;
watu1246;Watut;-6.64;146.22;Cousin terminology depends on birth order of linking parent.;;;;Austronesian;x;;;
glot0002;Dzonghka Lhop;27.41;89.58;Cousin terminology depends on birth order of speaker and cousin.;;;;Sino-Tibetan;x;;;
glot0001;Dzonghka Sha;27.42;89.59;Cousin terminology depends on birth order of speaker and cousin.;;;;Sino-Tibetan;x;;;
wang1287;Dzonghka Wang;27.43;89.59;Cousin terminology depends on birth order of speaker and cousin.;;;;Sino-Tibetan;x;;;
hawa1245;Hawaiian;19.63;-155.43;;Everett, Daniel, Language: The Cultural Tool;;;Austronesian;x;;;
tami1289;Tamil;10.52;78.83;pronouns my or mine: en;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Dravidian;x;;;
telu1262;Telugu;16.45;78.70;;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Dravidian;x;;;
nucl1305;Modern Kannada;13.59;76.12;pronouns my or mine: nǎnnǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Dravidian;x;;;
hind1269;Hindi;25.00;77.00;pronouns my or mine: masc: merá, fem: meri;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Indo-European;x;;;
beng1280;Bengali;24.00;90.00;pronouns my or mine: masc: amar;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Indo-European;x;;;
guja1252;Gujarati;22.69;71.10;pronouns my or mine: masc: mäzhä, fem: mäzhi;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Indo-European;x;;;
mara1378;Marathi;17.93;76.67;pronouns my or mine: masc: märo, fem: märi;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Indo-European;x;;;
sini1245;Chinese;29.00;119.00;pronouns my or mine: wo-tě;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sino-Tibetan;x;;;
japa1256;Japanese;35.00;135.00;pronouns my or mine: wä-tä-k´-se-no;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Japonic;x;;;
burm1266;Burmish;24.35;97.74;pronouns my or mine: masc: ky-u-nok, fem: ky-un-mǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sino-Tibetan;x;;;
sgaw1245;S'gau Karen;17.99;97.71;pronouns my or mine: yǎ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sino-Tibetan;x;;;
pwoo1239;Pwo Karen;15.19;98.74;pronouns my or mine: y';Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sino-Tibetan;x;;;
kare1337;Karenic (Karen);18.02;98.27;pronouns my or mine: yeh;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Sino-Tibetan;x;;;
gilb1244;Gilbertise (Kingsmill Island);0.64;173.22;pronouns my or mine: suffix u;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Austronesian;x;;gil;
kosr1238;Kosraean (Kusaien);5.50;163.00;pronouns my or mine: suffix uk or ik;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Austronesian;x;;;
hawa124x;Hawaiian (Morgan);19.63;-155.43;pronouns my or mine: kǔ-ǔ and ko´ǔ;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Austronesian;x;;;
maor1246;Maori;-38.29;176.54;pronouns my or mine: ta´-ku(sing.), a´-ku(pl.);Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Austronesian;x;;;
glot0003;Zulu (Morgan) Amazulu Kafir;-25.33;31.35;pronouns my or mine: Wa´-me or ya´-me;Morgan, Lewis Henry. Systems of Consanguinity and Affinity of the Human Family, Smithonian Institute 1871;;;Atlantic-Congo;x;;;
idii1243;Idi;-8.76;142.30;;Evans, Nicholas, informant Jimmy Nébni 2016;;;Pahoturi;x;;;Papua
