glotto;language name;latitude;longitude;comment;Source;author;title;publication;publisher;school;address;year;edition;entryType;booktitle;editor;link;date of entry;link to source;family;Kinship;Pronouns;ISO;Classification;location;marriage_rule
sang1321;Sangtam Naga;25.86;94.63;Two clans use different terms wherever indecated by / . Cousin terminology depends on the birth order of speaker and cousin.;Pascal Bouchery and Lemlila Sangtam. The Kinship Terminology of the Sangtam Nagas;Bouchery, Pascal and Sangtam, Lemlila ;The Kinship Terminology of the Sangtam Nagas;European Bulletin of Himalayan Research;;;;2012;41: 9-29;article;European Bulletin of Himalayan Research;;;;;Sino-Tibetan;x;;;Sino-Tibetan > Kuki-Chin-Naga > Naga > Angami-Ao > Central Naga > sang1321;;
stan1293;Standard English;52.00;0.00;;Wolfgang Barth;Barth, Wolfgang;no title;;;;;2017;;misc;;;;;;Indo-European;x;;;Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglian > Mercian > Macro-English > stan1293;;
stan1295;Standard German;48.65;12.47;;Wolfgang Barth;Barth, Wolfgang;no title;;;;;2017;;misc;;;;;;Indo-European;x;;;Indo-European > Germanic > Northwest Germanic > West Germanic > Franconian > High Franconian > stan1295;;
matu1261;Matukar;-4.91;145.78;;Danielle Barth;Barth, Danielle;Fieldnotes;;;;;2017;;misc;;;;;;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > North New Guinea linkage > Ngero-Vitiaz linkage > Vitiaz linkage > Bel-Roinji-Nenaya > Bel > Western Bel > matu1261;;
waim1255;Tucanoan Bará;0.30;-70.16;;Jackson, Jean E. The Fish People. Linguistic Exogamy and Tukanoan Identity in Northwest Amazonia. Cambridge Studies in Social Anthropology 39. Cambridge University Press. 1983;Jackson, Jean E.;The Fish People. Linguistic Exogamy and Tukanoan Identity in Northwest Amazonia;Cambridge Studies in Social Anthropology;Cambridge University Press;;Cambridge;1983;39;book;;;;;;Tucanoan;x;;;Tucanoan > Eastern Tucanoan > Eastern Eastern Tucanoan > Eastern Eastern Tucanoan I > Bara-Tatuyo > waim1255;;
watu1246;Watut;-6.64;146.22;Cousin terminology depends on birth order of linking parent.;Fischer, Hans. Watut. Band 10 von Kulturgeschichtliche Forschung. Limbach, 1963.;Fischer, Hans;Watut;Kulturgeschichtliche Forschung;Limbach;;;1963;10;book;;;;;;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Western Oceanic linkage > North New Guinea linkage > Huon Gulf > Markham > watu1246;;
glot0002;Dzonghka Lhop;27.41;89.58;Cousin terminology depends on birth order of speaker and cousin.;Karma Tshering. Poweroint: Kinship and language documentation in Bhutan 2013.;Tshering, Karma;Kinship and language documentation in Bhutan;;;;;2013;;misc;;;https://scholarspace.manoa.hawaii.edu/handle/10125/26148;;;Sino-Tibetan;x;;;glot0002: no Classification;;
glot0001;Dzonghka Sha;27.42;89.59;Cousin terminology depends on birth order of speaker and cousin.;;Tshering, Karma;Kinship and language documentation in Bhutan;;;;;2013;;misc;;;https://scholarspace.manoa.hawaii.edu/handle/10125/26148;;;Sino-Tibetan;x;;;glot0001: no Classification;;
wang1287;Dzonghka Wang;27.43;89.59;Cousin terminology depends on birth order of speaker and cousin.;;Tshering, Karma;Kinship and language documentation in Bhutan;;;;;2013;;misc;;;https://scholarspace.manoa.hawaii.edu/handle/10125/26148;;;Sino-Tibetan;x;;;Sino-Tibetan > Bodic > Bodish > Old-Modern Tibetan > Tibetic > Southern Tibetic > Dzongkhic > Nuclear Dzongkhic > Dzongkha > wang1287;;
hawa1245;Hawaiian;19.63;-155.43;;Everett, Daniel, Language: The Cultural Tool;Everett, Daniel;Language: The Cultural Tool;;Vintage;;;2012;;book;;;;;;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokelau-Fijian > Polynesian > Nuclear Polynesian > Northern Outlier Polynesian-East Polynesian > Solomons Northern Outlier Polynesian-East Polynesian > Central Northern Outlier Polynesian-East Polynesian > East Polynesian > Central Eastern Polynesian > hawa1245;;
