"glotto";"language name";"latitude";"longitude";"comment";"Source";"author";"title";"publication";"publisher";"school";"address";"year";"edition";"entryType";"booktitle";"editor";"link";"date of entry";"link to source";"family";"Kinship";"Pronouns";"ISO";"Classification";"location";"marriage_rule"
"idii1243";"Idi";142,30453;-8,71445;;"Evans. 2013. Personal communication.";"Evans";" Personal communication";2013;;;;;;;;;;;;;;;;"Pahoturi > idii1243";;
"idii1243";"Taeme";142,30453;-8,71445;;"Tama, Phillip. 2013. Personal communication.";"Tama, Phillip";" Personal communication";2013;;;;;;;;;;;;;;;;"Pahoturi > idii1243";;
"nenn1238";"Nen";142,0378;-8,61979;;"Evans. 2013. Personal communication.";"Evans";" Personal communication";2013;;;;;;;;;;;;;;;;"Morehead-Wasur > Morehead-Maro > Nambu > nenn1238";;
"suki1245";"Suki";141,83943;-8,06772;"Third person inanimates are usually referred to with nouns/demonstratives rather than third person pronouns. I should check again if/to what extent they can be referred to with pronouns at all (CvT).";"Van Tongeren, Charlotte. 2013. Personal communication.";"Van Tongeren, Charlotte";" Personal communication";2013;;;;;;;;;;;;;;;;"Suki-Gogodala > suki1245";;
"kaya1319";"Kayardild";139,50318;-17,07014;"O forms are sensitive to TAM, e.g. 1sgActualO ngijinji, 1sgPotentialO ngijinju etc. Only the ActualO forms are included here, the others pattern similarly. ";" Evans, Nicholas. 1995.";" Evans, Nicholas";;1995;;;;;;;;;;;;;;;;"Tangkic > Southern Tangkic > Kayardild-Yangkaal > kaya1319";;
"neme1244";"Neme";141,86254;-8,47272;;"Evans, Nick. 2012. Field notes. p. 120.";"Evans, Nick";" Field notes";2012;;;;;;;;;;;;;;;;"Morehead-Wasur > Morehead-Maro > Nambu > neme1244";;
"namb1293";"Nambu";141,92694;-8,74638;;"Evans. 2013. Personal communication.";"Evans";" Personal communication";2013;;;;;;;;;;;;;;;;"Morehead-Wasur > Morehead-Maro > Nambu > namb1293";;
"lard1243";"Lardil";139,39036;-16,56778;"Non-singular harmonic form is entered, disharmonic is not. ";"Ngakulmungan Kangka Leman. 1997. Lardil dictionary: a vocabulary of the language of the Lardil people, Mornington Island, Gulf of Carpentaria, Queensland, with English-Lardil finder list. Mornington Shire Council: Gununa, Qld.";"Ngakulmungan Kangka Leman";" Lardil dictionary: a vocabulary of the language of the Lardil people, Mornington Island, Gulf of Carpentaria, Queensland, with English-Lardil finder list";1997;;;;;;;;;;;;;;;;"Tangkic > lard1243";;
"ngal1292";"Dalabon";133,98152;-13,78231;;"Evans, Nicholas, Francisca Merlan and Maggie Tukumba. 2004. A first dictionary of Dalabon (Ngalkbon), Manangrida Arts and Culture, Manangrida.";"Evans, Nicholas, Francisca Merlan and Maggie Tukumba";" A first dictionary of Dalabon (Ngalkbon), Manangrida Arts and Culture, Manangrida";2004;;;;;;;;;;;;;;;;"Gunwinyguan > Marne > Central Gunwinyguan > ngal1292";;
"ngka1235";"Ngkolmpu";140,86965;-8,55215;;"Carroll, Matthew. 2013. A grammar of Ngkntra. Thesis proposal review.";"Carroll, Matthew";" A grammar of Ngkntra";2013;;;;;;;;;;;;;;;;"Morehead-Wasur > Kanum > Ngkrn-Ngkantr > Ngkantr > ngka1235";;
"tami1289";"Tamil";78,41194;10,92153;;"Annamalai, E. and S.B. Steever. 1998. Modern Tamil. In Sanford B. Steever (ed.), The Dravidian Languages. London: Routledge.";"Annamalai, E";"B";" and S";;;;;;;;;;;;;;;;"Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Tamil-Kota > Tamil-Toda > Tamil-Irula > Tamil-Kodagu > Tamil-Malayalam > Tamiloid > Tamil-Paliyan > tami1289";;
"nucl1305";"Kannada";76,19378;14,74807;;"Steever, Stanford. 1997. Kannada.";"Steever, Stanford";" Kannada";1997;;;;;;;;;;;;;;;;"Dravidian > South Dravidian > South Dravidian I > Tamil-Kannada > Badaga-Kannada > Kannadoid > Nuclear Kannaoid > nucl1305";;
"gunw1252";"Bininj Gun-wok";133,44891;-12,39346;;"Evans, Nicholas. 2003. Bininj Gun-wok. A pan-dialectal grammar of Mayali, Kunwinjku and Kune. Canberra: Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University.";"Evans, Nicholas";" Bininj Gun-wok";2003;;;;;;;;;;;;;;;;"Gunwinyguan > Marne > Central Gunwinyguan > gunw1252";;
"ngal1293";"Ngalakan";134,71647;-14,42805;;"Merlan, Francesca. 1983. Ngalakan grammar, texts and vocabulary. B-89. Pacific Linguistics: Canberra.";"Merlan, Francesca";" Ngalakan grammar, texts and vocabulary";1983;;;;;;;;;;;;;;;;"Gunwinyguan > Gunwinyguan Bak > Eastern Gunwinyguan > Jala > ngal1293";;
"remb1249";"Rembarrnga";134,27635;-13,00821;;"Saulwick, Adam. 2003. Rembarrnga Learners Guide. Maningrida: Maningrida Arts and Culture. ";"Saulwick, Adam";" Rembarrnga Learners Guide";2003;;;;;;;;;;;;;;;;"Gunwinyguan > Gunwinyguan Bak > Eastern Gunwinyguan > Jala > remb1249";;
"wang1291";"Ngiyambaa";146,15518;-30,71694;;"Donaldson, Tamsin. 1980. Ngiyambaa, the language of the Wangaaybuwan. Cambridge: Cambridge University Press. ";"Donaldson, Tamsin";" Ngiyambaa, the language of the Wangaaybuwan";1980;;;;;;;;;;;;;;;;"Pama-Nyungan > Southeastern Pama-Nyungan > Wiradhuric > wang1291";;
"dhuw1249";"Djapu";135,95637;-12,48467;;"Morphy, Frances. 1983. Djapu. In R.M.W. Dixon & Barry J. Blake (eds.), Handbook of Australian Languages, Vol. 3. Canberra: ANU Press. ";"Morphy, Frances";" Djapu";1983;;;;;;;;;;;;;;;;"Pama-Nyungan > Yuulngu > Southern Yolngu > Southern-Eastern Yolngu > Dhuwal-Dhuwala > Western Dhuwal-Dhuwala > dhuw1249";;
"gunt1241";"Warta Thundai";141,2845;-8,79463;;"Quinn, Kyla. Personal communication.";"Quinn, Kyla";;" Personal communication";;;;;;;;;;;;;;;;"Morehead-Wasur > Morehead-Maro > Tonda > gunt1241";;
"paam1238";"Paamese";168,34098;-16,52041;;"Crowley, Terry. 1982. The Paamese language of Vanuatu. B-87. Pacific Linguistics: Canberra.";"Crowley, Terry";" The Paamese language of Vanuatu";1982;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > North and Central Vanuatu > Central Vanuatu > paam1238";;
"samo1305";"Samoan";-172,40604;-13,6757;;"Pratt, Rev. George. 1893. Grammar and dictionary of the Samoan language. London: The London Missionary Society";"Pratt, Rev";1893;" George";;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Central Pacific linkage > Tokelau-Fijian > Polynesian > Nuclear Polynesian > Ellicean > Samoan-Tokelauan > samo1305";;
"russ1263";"Russian";79,65046;57,47707;"For genitive forms, masculine nominative forms of the possessive pronouns are cited, e.g. moj for 1sgPOSS. ";"Pulkina, I.M. 1975. A Short Russian Reference Grammar. Moscow: Russian Language Publishers.";"Pulkina, I";1975;"M";;;;;;;;;;;;;;;;"Indo-European > Balto-Slavic > Slavic > East Slavic > russ1263";;
"stan1295";"German";10,37778;51,10301;;"Evans, Nick. No year. Personal communication 1.";"Evans, Nick";" Personal communication 1";" No year";;;;;;;;;;;;;;;;"Indo-European > Germanic > Northwest Germanic > West Germanic > Franconian > High Franconian > stan1295";;
"toab1237";"Toqabaqita";160,61529;-8,38461;;"Lichtenberk, Frantisek. 2008. A grammar of Toqabaqita. Berlin: Mouton de Gruyter.";"Lichtenberk, Frantisek";" A grammar of Toqabaqita";2008;;;;;;;;;;;;;;;;"Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southeast Solomonic > Longgu-Malaita-Makira > Malaita-Makira > Malaita > Central-Northern Malaita > toab1237";;
"ital1282";"Italian";12,37584;43,44854;;"Evans, Nick. No year. Personal communication 2.";"Evans, Nick";" Personal communication 2";" No year";;;;;;;;;;;;;;;;"Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Italian Romance > ital1282";;
